"ancestry","pct.cluster1","pct.cluster2","pct.cluster3","pct.cluster4","pct.cluster5","pct.cluster6","pct.all","pretty.node","pretty.leaf"
"san_pygmy",0.299993286365343,0.0656307472295507,0.0374280847609043,0.454750622157008,0.0719329782037272,0,0.293382824684972,"Biaka, Mbuti & San","Biaka, Mbuti & San"
"broadly_north_east_african",0.00332329442135431,0,0,0.465658961911686,1.04192499970345,0.381420420146444,0.0112076109794088,"Northern East Africa","Broadly Northern East Africa"
"eana",1.20798742250248,0.0173721989860362,0.0863457728493294,0.112475618880126,0.0506327969358406,0.0131782544485759,1.17435899303925,"Native American/East Asian","Native American/East Asian"
"broadly_bantu",2.05590311778165,0.400939424893025,0.238455790427646,5.46657154336572,1.9347523804754,0.00754994382279822,2.01988540466391,"Congo & Southern East Africa","Broadly Congo & Southern East Africa"
"broadly_african",3.23163529341625,0.700259281115399,0.59731652561043,3.42348943231627,2.39892956904239,0.167741829985365,3.16611550451705,"Broadly African","Broadly African"
"senegambia_guinea",6.39598755760596,0.493165854951022,7.93981464978839,0.143178639700636,0.134508062749066,0.0343043754886215,6.24418313066464,"Atlantic Africa","Senegal, The Gambia & Guinea"
"broadly_west_african",9.03755020461774,3.0061884265807,3.60180755544986,1.43965370953083,0.961634092446831,0.0659514394808665,8.83241112338657,"Atlantic Africa","Broadly Atlantic Africa"
"europe",15.8451369974388,0.48380571598601,0.43882848528613,0.171736355332541,0.13753298327275,0.0704683364246092,15.3997398274174,"European","European"
"somalia",0.000122737886021573,0,0,0,0,32.8107361216098,0.260407124058955,"Northern East Africa","Somalia"
"sudan",0.0753152418065506,0.0266269445462428,0.0336593931673893,3.50792710669339,32.4334174394608,0.854674278687324,0.215189924457845,"Northern East Africa","Sudan"
"congo",7.93865562701102,2.09125790106892,0.587067367242915,25.5704417824745,1.56827004781614,0.0176906533953216,7.78937199918607,"Congo & Southern East Africa","Congo"
"ethiopia_eritrea",0.0354513594734494,0,0,0.563229428371415,11.5054642471174,64.8006060678098,0.59512904426514,"Northern East Africa","Ethiopia & Eritrea"
"south_east_africa",0.876626062130652,0.144718422584615,0.0856302345969847,56.0452038422227,46.3776765391231,0.014973525766335,1.13637729293641,"Congo & Southern East Africa","Southern East Africa"
"sw_west_africa",20.7785981942007,7.43354030850309,81.0357034206391,0.315560499439016,0.0895979044596768,0.00487598170164145,20.5227599484799,"Atlantic Africa","Sierra Leone, Liberia, Ivory Coast & Ghana"
"nigeria",31.093465180023,85.0203536174916,5.09491349969591,1.3920149533078,0.637810694105509,0.00905768748553884,31.235206079055,"Atlantic Africa","Nigeria"
