variant,ngenotype,af,r2,panel
SNP,394236,0.000626711,0.532553,DV-0.10.0
SNP,462055,0.0014977,0.669857,DV-0.10.0
SNP,964141,0.0035125,0.755403,DV-0.10.0
SNP,1208271,0.00749308,0.809814,DV-0.10.0
SNP,1753957,0.0147524,0.843444,DV-0.10.0
SNP,2873817,0.0330967,0.870487,DV-0.10.0
SNP,2101763,0.0718532,0.895022,DV-0.10.0
SNP,1855650,0.143374,0.92088,DV-0.10.0
SNP,2081145,0.323079,0.942617,DV-0.10.0
SNP,732974,0.595548,0.939309,DV-0.10.0
SNP,605432,0.797931,0.925581,DV-0.10.0
SNP,311516,0.95437,0.835757,DV-0.10.0
INDEL,37167,0.000617334,0.484328,DV-0.10.0
INDEL,43753,0.00149813,0.644818,DV-0.10.0
INDEL,92435,0.00351188,0.732225,DV-0.10.0
INDEL,117772,0.00748776,0.789152,DV-0.10.0
INDEL,169604,0.0147586,0.824455,DV-0.10.0
INDEL,278506,0.0330187,0.853993,DV-0.10.0
INDEL,202292,0.0717025,0.880272,DV-0.10.0
INDEL,174181,0.143026,0.906076,DV-0.10.0
INDEL,186565,0.321533,0.92585,DV-0.10.0
INDEL,61846,0.594893,0.921232,DV-0.10.0
INDEL,48895,0.797108,0.893527,DV-0.10.0
INDEL,30532,0.963193,0.667257,DV-0.10.0
SNP,394236,0.000626711,0.121385,HRC
SNP,462055,0.0014977,0.172546,HRC
SNP,964141,0.0035125,0.329622,HRC
SNP,1208271,0.00749308,0.548379,HRC
SNP,1753957,0.0147524,0.663931,HRC
SNP,2873817,0.0330967,0.735571,HRC
SNP,2101763,0.0718532,0.783702,HRC
SNP,1855650,0.143374,0.813358,HRC
SNP,2081145,0.323079,0.804112,HRC
SNP,732974,0.595548,0.694136,HRC
SNP,605432,0.797931,0.539095,HRC
SNP,311516,0.95437,0.0379512,HRC
SNP,394236,0.000626711,0.188243,1KGP
SNP,462055,0.0014977,0.344882,1KGP
SNP,964141,0.0035125,0.554157,1KGP
SNP,1208271,0.00749308,0.694351,1KGP
SNP,1753957,0.0147524,0.755143,1KGP
SNP,2873817,0.0330967,0.801565,1KGP
SNP,2101763,0.0718532,0.841047,1KGP
SNP,1855650,0.143374,0.879216,1KGP
SNP,2081145,0.323079,0.910255,1KGP
SNP,732974,0.595548,0.893956,1KGP
SNP,605432,0.797931,0.821557,1KGP
SNP,311516,0.95437,0.167201,1KGP
INDEL,37167,0.000617334,0.0811593,1KGP
INDEL,43753,0.00149813,0.179147,1KGP
INDEL,92435,0.00351188,0.348314,1KGP
INDEL,117772,0.00748776,0.505732,1KGP
INDEL,169604,0.0147586,0.58811,1KGP
INDEL,278506,0.0330187,0.648096,1KGP
INDEL,202292,0.0717025,0.693675,1KGP
INDEL,174181,0.143026,0.734159,1KGP
INDEL,186565,0.321533,0.725766,1KGP
INDEL,61846,0.594893,0.605436,1KGP
INDEL,48895,0.797108,0.414395,1KGP
INDEL,30532,0.963193,0.0134461,1KGP
